bID,name,address,cord,numOfReview,rating,zipcode,cuisine
44SY464xDHbvOcjDzRbKkQ,Ippudo NY,"65 4th Ave, New York, NY 10003","40.73092, -73.99015",10012,4.0,10003,chinese
UNyGz06_7RendbswIyNYtA,Shu Han Ju,"465 6th Ave, New York, NY 10011","40.73558, -73.99843",175,3.5,10011,chinese
oyyubJoK0VZ2V3a5sVJULg,Natsumi,"226 W 50th St, New York, NY 10019","40.76174, -73.98503",854,4.0,10019,chinese
sQw7aEos_0FmO0UFtrJokg,Clay Pot - West Village,"270 Bleeker St, New York, NY 10014","40.73138, -74.00319",91,4.5,10014,chinese
KSleHGTG1yL1E7OEFFPoNQ,LaoMa Spicy,"58 E 8th St, New York, NY 10003","40.73089, -73.99343",171,4.0,10003,chinese
Ece_DRuD1yQjRPJBAebRpw,Kung Fu Little Steamed Buns Ramen,"146 E 55th St, New York, NY 10022","40.7592514705491, -73.9694294705987",324,3.5,10022,chinese
hBbAmEYXM4L03AU9Vt_p9g,Hong Kong Station,"157 W 47th St, New York, NY 10036","40.75894, -73.98372",126,3.5,10036,chinese
liZmIO0FqZwslLJfLDkfgw,Wayla,"100 Forsyth St, Basement, New York, NY 10002","40.7183, -73.9926038",309,4.5,10002,chinese
xLJnT-pB4VECJzmUf1Whpg,3 Times 茅庐,"90 Clinton St, New York, NY 10002","40.718271, -73.985209",87,4.5,10002,chinese
IjRxYyr41Yl1fGhIrss1vg,Kokage,"125 E 39th St, New York, NY 10016","40.7498614, -73.9777215",88,4.0,10016,chinese
i68ePkcGmSimy2_OTDo5qQ,Happy Garden 813,"513 6th Ave, New York, NY 10011","40.73699, -73.99744",5,5.0,10011,chinese
RkcQl4uEJWblWf4xX8ssqQ,Wa Jeal Sichuan Chili House,"1588 2nd Ave, New York, NY 10028","40.77536, -73.95317",411,3.5,10028,chinese
vQe7_ZW_jBSWKtgSiXGIOA,Soup Dumpling Plus,"1550 Lemoine Ave, Ste 109, Fort Lee, NJ 07024","40.84757, -73.9706099",946,4.5,07024,chinese
rkeH5HJIuX7ZcOaYNum9xA,Wu's Wonton King,"165 E Broadway, New York, NY 10002","40.7139415501646, -73.9899386554248",305,3.5,10002,chinese
xSY8MI449l9HvKJKBSlVHA,Korean Express,"807 Lexington Ave, New York, NY 10065","40.76423, -73.96654",306,3.5,10065,chinese
